method,accuracy,f1,precision,recall,time
Edit Distance,0.6306161745827985,0.6305852709859706,0.6306598962911052,0.6306161745827985,0.16767525672912598
TF-IDF,0.6520378690629012,0.64316890444919,0.6688220172578815,0.6520378690629012,6.761415481567383
BM25,0.5149229781771502,0.36797292547497384,0.7132578584138787,0.5149229781771502,144.6204891204834
Word Vector,0.4803433889602054,0.4657059910264465,0.47792426114793435,0.4803433889602054,0.6037206649780273
GPU Neural Network,0.7947689345314506,0.7906705913002554,0.8198148366668633,0.7947689345314506,6296.107276916504
